,H2A.H4R3me2,H2AZ,H2BK5me1,H3K4me1,H3K4me2,H3K4me3,H3K9me1,H3K9me2,H3K9me3,H3K27me1,H3K27me2,H3K27me3,H3K36me1,H3K36me3,H3K79me1,H3K79me2,H3K79me3,H3R2me1,H3R2me2,H4K20me1,H4K20me3,H3K4ac,H3K9ac,H3K14ac,H3K18ac,H3K23ac,H3K27ac,H3K36ac,H4K5ac,H4K8ac,H4K12ac,H4K16ac,H4K91ac,H2AK5ac,H2AK9ac,H2BK5ac,H2BK12ac,H2BK20ac,H2BK120ac
H3K9ac_H2AK5ac,-0.0227447144884713,-0.0912525914737081,-0.0755497386190882,-0.1218631678974873,-0.159183867909018,-0.1401801258688824,-0.1128656595416828,-0.0357367366718399,-0.0139083030275735,-0.0513465113014337,-0.0200502275516534,-0.0235567663863403,-0.0351935756264047,-0.0420868726564283,-0.0312809048679252,-0.0102533195856651,-0.0404328918285781,-0.0369219275873966,-0.0309906486624598,-0.101398224279201,-0.026126013933835,-0.1554527938318877,,,,,,,,,,,,,,,,,
H3K9ac_H2AK9ac,-0.0123418219861326,-0.074580770612771,-0.0412050529074079,-0.0786047323320495,-0.1408357993661351,-0.0219993389758883,-0.1048121639940458,-0.0312005171369902,-0.0132488528497276,-0.0389014994964949,-0.0130758797873884,-0.0190122085729012,-0.0347122690343635,-0.0157407457393699,-0.0336566332619909,-0.0095102316344366,-0.0360164411957315,-0.0323885297736961,-0.028537817362455,-0.0796510148935247,-0.0227242609220859,0.0040407454937003,,,,,,,,,,,,,,,,,
H3K9ac_H2BK5ac,-0.0272546845845962,-0.0759939308468862,-0.036935804272252,-0.204869434879015,-0.2723617896242682,-0.0260398308033593,-0.2179653726816024,-0.0716017053969064,-0.0184870693997494,-0.0850639685845351,-0.0275079193582321,-0.0416975945232831,-0.0748641075707432,-0.033141872688672,-0.0698962040989563,-0.0195795317974569,-0.070968484108846,-0.0598647019713975,-0.0589809546600328,-0.0960107084272898,-0.0398842772658252,0.0755113124583903,,,,,,,,,,,,,,,,,
H3K9ac_H2BK12ac,-0.0347244629051921,-0.1236960630399792,-0.0623971870859758,-0.2279357099672605,-0.2782789289241645,-0.1554105954784397,-0.2209175255050528,-0.0773028463937013,-0.0210273971661401,-0.1017165062881684,-0.0393373875730382,-0.0445651743057542,-0.0729293174828136,-0.0368321314587678,-0.0682152088031848,-0.0203845742932466,-0.0753050089662838,-0.0691589109802421,-0.0594042804531262,-0.1012219718197862,-0.0440937679844459,-0.0030424378330202,,,,,,,,,,,,,,,,,
H3K9ac_H2BK20ac,-0.0427104376914702,-0.1648884934083589,-0.1080300532243629,-0.3108350403288309,-0.352297529092791,-0.1991515982174032,-0.2756475931116764,-0.0947928082129045,-0.0264406209558192,-0.1393980255212916,-0.0523067898205553,-0.0597988095713031,-0.0947146967109127,-0.0581408930389368,-0.0885301366076003,-0.0256391018951678,-0.0943032030557127,-0.0968625443222652,-0.0774500986419433,-0.1538324361810961,-0.0547113769302924,0.0070148489761461,,,,,,,,,,,,,,,,,
H3K9ac_H2BK120ac,-0.0405865223853378,-0.1250243627234848,-0.0866387052113619,-0.2944157124781714,-0.354655524703066,-0.1257044377380385,-0.2857992526231818,-0.0975458492078615,-0.0267795988512116,-0.1343075323150326,-0.0481924320394941,-0.0599437909822579,-0.0974019253387012,-0.0432484492434497,-0.0914850941047777,-0.026042960271587,-0.0950072666483023,-0.0911019449690506,-0.078054764125877,-0.1454547637283347,-0.0563501461256805,0.0624883687924278,,,,,,,,,,,,,,,,,
H3K14ac_H3K18ac,-0.0230531668388316,-0.0958840907421105,-0.0777659727825188,-0.1257137293132206,-0.1271842982617386,-0.1482044986579396,-0.092082138637453,-0.0320036945956445,-0.0104920480347647,-0.0529992570048527,-0.0225904486679446,-0.0230033662405091,-0.0280760496096927,-0.0385694727961531,-0.0245853869291892,-0.0095685148015274,-0.0320339536503784,-0.0347131445961395,-0.0283353358585323,-0.0787769883110875,-0.0254140883076843,-0.062501944433043,-0.0928015606715586,,,,,,,,,,,,,,,,
H3K14ac_H3K23ac,-0.0066794535949137,-0.027908098794521,-0.0267080979806912,-0.0312822241716563,-0.0268318582382516,-0.0455006147641849,-0.0205470498990845,-0.0092985523680839,-0.0038501174689287,-0.0064677854861603,-0.0046518682098852,-0.0075149264599332,-0.0050707115200028,-0.0138923635932499,-0.0076049162803251,-0.0027475628177739,-0.0089289181387908,-0.0106231744051106,-0.0081637648281533,-0.0276211711790619,-0.007563191426259,-0.0229767852675468,-0.0274155876856525,,,,,,,,,,,,,,,,
H3K14ac_H3K27ac,-0.0226119035261636,-0.1033347897085477,-0.0830737102668131,-0.1401827590585167,-0.1408765709638189,-0.1680215393027424,-0.1001946360863321,-0.0351046737444793,-0.0107492987425903,-0.0567281993996893,-0.0245422947423321,-0.0236985930590218,-0.0304539612100285,-0.0456491809339514,-0.0263931533472892,-0.0100960119964428,-0.0312055011292269,-0.0349696425109993,-0.0300113869142748,-0.0889614884740286,-0.0246823659465498,-0.0747272858466434,-0.0953525528396337,,,,,,,,,,,,,,,,
H3K14ac_H3K36ac,-0.018265982450309,-0.0776274171562878,-0.0536515533719992,-0.0957563640967791,-0.1024246752723616,-0.1115837530849823,-0.0737360016380606,-0.0262433512654887,-0.0102176249611778,-0.0420851811646922,-0.0173100949901368,-0.0177256481280512,-0.0228198510027333,-0.0309158070257389,-0.0214222921635105,-0.0075241575009323,-0.027413681931895,-0.0272432690857655,-0.0219057790061611,-0.055125907831389,-0.0217742480856664,-0.0580162097974632,-0.0761897371154791,,,,,,,,,,,,,,,,
H3K14ac_H4K5ac,-0.0195109647242404,-0.0833229197381477,-0.0592946841898758,-0.0993752347665726,-0.0988868623104011,-0.1236494369987823,-0.0719776891338934,-0.0280716257656266,-0.0095979062606463,-0.0398225030688248,-0.0183531413342308,-0.0196951855245259,-0.0227141621626998,-0.0355648780628019,-0.0222424853692633,-0.0083484470051464,-0.0271001560722901,-0.0277194119446679,-0.0237476084991108,-0.0535809054859246,-0.021861927796257,-0.06001819027232,-0.0794314265142777,,,,,,,,,,,,,,,,
H3K14ac_H4K8ac,-0.0174330962614446,-0.0751570304518054,-0.0551147985778115,-0.0942045650627267,-0.0917055121730641,-0.1115633190775149,-0.0686284863024671,-0.0262795365509571,-0.009507173375816,-0.0376135002304156,-0.0175404541261832,-0.0182370163326934,-0.0220104336605597,-0.0331715488502943,-0.0196442377170562,-0.0076000712455757,-0.0262461532323996,-0.0261742303244343,-0.0220305780276195,-0.0457169148142941,-0.0211794819162722,-0.0583410213502642,-0.0733894829096009,,,,,,,,,,,,,,,,
H3K14ac_H4K12ac,-0.0225865261955089,-0.0921072986031514,-0.0764037544929543,-0.1271279085028531,-0.1246220031338491,-0.1467994087791471,-0.0896268118716161,-0.0334074843406995,-0.0128066048653785,-0.050010875711278,-0.0228668151618549,-0.0227729380313537,-0.0281037173794125,-0.0432595833193065,-0.0251762137459135,-0.0092777561304648,-0.032676456819237,-0.0335547400627103,-0.0278274634199728,-0.0805013797433371,-0.0276634366340573,-0.0590614076588895,-0.0937303492472523,,,,,,,,,,,,,,,,
H3K14ac_H4K16ac,-0.0134445548436463,-0.0500140515899918,-0.0470185624230161,-0.0665262837323688,-0.0668527097088933,-0.0709989295039061,-0.0491644913307034,-0.0186622000203371,-0.0099615935020489,-0.0256421698988056,-0.0122884595177659,-0.012128057111421,-0.0155252071247815,-0.0251359528321604,-0.0141304221397824,-0.005181436192668,-0.0208652901405148,-0.0176246079126762,-0.0159167009064162,-0.0495143238732254,-0.0204790488054973,-0.0387028674272134,-0.0466920170286169,,,,,,,,,,,,,,,,
H3K14ac_H4K91ac,-0.0255806488608456,-0.10568581101694,-0.1022748193579161,-0.1613166718034495,-0.1564673074807814,-0.1909308623832846,-0.1109389870579171,-0.0379004270730014,-0.0131746172468396,-0.0580785288386405,-0.0247718132341479,-0.0254951259191251,-0.032938699164271,-0.0484162594222254,-0.0277954416009453,-0.0110717236537318,-0.0355526559429932,-0.0386222045929667,-0.0318551896036556,-0.1160661594564125,-0.0302545462916832,-0.0694545732069773,-0.1095448031615546,,,,,,,,,,,,,,,,
H3K14ac_H2AK5ac,-0.0088733463817725,-0.0282857816948141,-0.0351117114882306,-0.0400254327959483,-0.0478286666867813,-0.0485772725537145,-0.0355742054847745,-0.0124885332306643,-0.0047120512964529,-0.0136244866132813,-0.0073663943884199,-0.0096991503102987,-0.0102690744471845,-0.0180913723257241,-0.0102325281786885,-0.0040627833052715,-0.0128616131940493,-0.0135413721718737,-0.0110802170565005,-0.0366982661080612,-0.011976567985787,-0.030015926368474,-0.034548093882762,,,,,,,,,,,,,,,,
H3K14ac_H2AK9ac,-0.0072284772164081,-0.0281667923387036,-0.022830343625861,-0.0346651981173007,-0.0371817348033118,-0.0390422212582244,-0.0267307702623362,-0.0104184677285124,-0.0055268316351577,-0.0149772596279742,-0.0065063429899714,-0.0067067482150626,-0.0091849696806072,-0.0129384220589843,-0.0086007460532195,-0.0026748391737001,-0.0126500121735455,-0.0100808217590175,-0.0084863587264969,-0.0274078513652487,-0.0099286346045524,-0.0305403222639784,-0.0314284662061732,,,,,,,,,,,,,,,,
H3K14ac_H2BK5ac,-0.0159605729423777,-0.0789730823052359,-0.0530296413521504,-0.0940222602926361,-0.1010384699611641,-0.1036310962455573,-0.0731901062611015,-0.0253656235525721,-0.0090021972817364,-0.0419238490528197,-0.0168671251389902,-0.0166504313613478,-0.0229989189036068,-0.0301464232906383,-0.0197824229306089,-0.0071651701532573,-0.0250820180497957,-0.0257209060008154,-0.0217467527425299,-0.0590487063760019,-0.0186712175891763,-0.0579592224827294,-0.0699752965287991,,,,,,,,,,,,,,,,
