,H4K5ac,H4K12ac,H4K8ac,H3K4ac,H3K23ac,H3K14ac,H2AK5ac,H3K18ac,H3K9ac,H3K56ac,H3K4me3,Htz1,H3K79me,H3K4me,H4K20me,H3K36me,H3K79me3,H3K36me3
H4K20me_H4R3me2s,,,,,,,0.0067410585616247,,,,,,,0.1454880685564124,,,,
H4K20me_H4R3me,,,,,,,,,,,,,,0.0472146598939566,,,,
H3K36me_H3K36me2,,,,,,,,,,,,,,,0.1228969826776626,,,
H3K36me_H4K16ac,,,,,,,,,,,,,,,0.0495395350629142,,,
H3K36me2_H4K16ac,,,,,,,,,,,,,,,0.0541366725713174,0.0539011100095319,,
H4K16ac_H4R3me2s,,,,,,,,,,,,,,,0.0492565942714069,,,
H3K79me3_H3K36me3,0.0063505258045886,0.0180561733863076,0.0434988469523354,,,,0.0018517414141303,,,0.0224888255511768,,0.1018738765349454,0.1011632098540324,,0.0122143694559806,,,
H3K79me3_H4R3me2s,0.0142818665070922,0.0320940221565173,0.0412232364767906,,,,0.0367064113980433,,,0.018547960152885,,0.032380582440604,,,0.060196717059016,,,
H3K79me3_H4R3me,0.0197314845468152,0.0376671754723574,0.0425422599152263,,,,0.0355381856005898,,,,,0.0336146183045134,,,0.0436007041736559,,,
H3K36me3_H4R3me2s,0.0276522417400375,0.041561768656722,0.0281035477075288,,,,0.0954066469302628,,,,,0.0627993663026273,,,0.0313122949554074,,0.3205888588832657,
H3K36me3_H4R3me,0.0269524806560053,0.0473836637535551,0.0391552350050652,,,,0.0526817112834354,,,,,0.0427463809105592,,,0.0207119331664529,,0.2393100347364782,
H4R3me2s_H4R3me,0.1162474953368217,0.1170877124013483,0.1138602364797964,0.0298732153007783,0.0215654175678743,0.026188004021062,0.1496569259728559,0.0064558635883127,,0.0069400970243371,,0.0705457885497757,,0.0311726267682015,0.134506389645125,,0.2718024483558547,0.2484096700030615
