,H4K5ac,H4K12ac,H4K8ac,H3K4ac,H3K23ac,H3K14ac,H2AK5ac,H3K18ac,H3K9ac,H3K56ac,H3K27ac,H3K4me2,Htz1,H3K4me,H4K20me,H3K36me2,H4K16ac
H3K27ac_H3K79me3,,,,,,,,,,-0.018748592992777,,,,,,,
H3K27ac_H3K36me3,,,,,,,,,,-0.019888550123694,,,,,,,
H3K27ac_H4R3me2s,,,,-0.0334595117202205,-0.0126815245680305,-0.0484309552169062,-0.0290226860324693,,0.0122957322764865,0.0417044429528488,,,,,,,
H3K27ac_H4R3me,,,,,,,,,-0.0364207497546491,-0.0144364930756104,,,,,,,
H3K4me3_H3K4me2,,,,-0.0170833630106841,,,0.0397250932081849,,,-0.0353273802917488,,,,,,,
H3K4me3_H3K4me,,,,,,-0.0008791170578223,,,,,,,,,,,
H3K4me3_H4K20me,,,,,,-0.0063818670355733,,-0.0425904605561768,,,,,,,,,
H3K4me3_H4R3me2s,,,,,,,-0.0423318060333439,,,,,,,,,,
Htz1_H3K79me3,,-0.0422801784899427,,,,,-0.0495397265358548,,,,,,,,,,
Htz1_H3K36me3,-0.0368719685655527,-0.0042020920186143,-0.0288016683861478,,,,0.0155939470956329,,,,,,,,,,
Htz1_H4R3me2s,0.0027315695389482,0.016129175560188,0.0017039885206244,-0.0189436090152845,-0.0319465303413704,-0.031462825206951,,,-0.0464106127571781,-0.0058326628903895,,,,,,,
Htz1_H4R3me,0.0064922665796878,0.0204995508197001,0.0072922428153727,-0.0307735539374611,-0.0386745965378079,-0.0351130162710155,0.0349962524985425,,,-0.0291365843335338,,,,,,,
H3K79me_H3K79me3,,,,,,,,,,,,,-0.0468059636080688,,,,
H3K4me_H4K20me,,,,-0.0372220655939372,0.0067389971753133,0.0335225340432749,0.0053544373654492,,-0.0252374901374459,-0.0245995329289279,,-0.0164825269704085,,,,,
H4K20me_H3K36me,,,,,,,,,,,,,,-0.0280573381148645,,,
H4K20me_H3K79me3,,,,,,,,,,,,,,0.0322469364966888,,,
H4K20me_H3K36me3,,,,,,,,,,,,,,0.0256567430125986,,,
H4K20me_H4R3me2s,,,,-0.0420676533145556,-0.0409359009998286,,0.0067410585616247,-0.0290405308880501,-0.0098349475901127,-0.0188913519193594,,,,,,,
H4K20me_H4R3me,,,,,,,-0.013516586195438,,,,,,-0.0395692826264113,0.0472146598939566,,,
H3K36me_H3K36me2,,,,,,,,,,,-0.0494265268695972,,,-0.0463973739556156,,,
H3K36me_H4K16ac,,,,,,,,,,,,,,,0.0495395350629142,,
H3K36me2_H4K16ac,,,,,,,,,,,,,,-0.0466003099383893,,,
H3K36me2_H4R3me2s,,,,,,,,,,,,,,,-0.0443737620975515,,
H4K16ac_H4R3me2s,,,,,,,,,,,,,,,0.0492565942714069,,
H4K16ac_H4R3me,,,,,,,,,,,,,,,-0.0083498001636623,,
H3K79me3_H3K36me3,0.0063505258045886,0.0180561733863076,0.0434988469523354,-0.0300683270895021,,,0.0018517414141303,,-0.0299776773375306,0.0224888255511768,-0.0440059622383124,,,-0.0416256451115497,0.0122143694559806,-0.0131760155006848,
H3K79me3_H4R3me2s,0.0142818665070922,0.0320940221565173,0.0412232364767906,-0.0174689176622049,,,0.0367064113980433,,-0.0381907637155229,0.018547960152885,,,0.032380582440604,,,,
H3K79me3_H4R3me,0.0197314845468152,0.0376671754723574,0.0425422599152263,-0.022420026672437,-0.0445356101015566,,0.0355381856005898,,,-0.0126893809303254,,,0.0336146183045134,-0.0341433990068846,0.0436007041736559,,
H3K36me3_H4R3me2s,0.0276522417400375,0.041561768656722,0.0281035477075288,-0.0242257833334438,-0.0369063164057834,,,,,-0.0194174230334827,,,,,0.0313122949554074,,
H3K36me3_H4R3me,0.0269524806560053,0.0473836637535551,0.0391552350050652,-0.0411345779721354,,,,,,-0.0466639449192243,,,0.0427463809105592,-0.0439768966133975,0.0207119331664529,,
H4R3me2s_H4R3me,,,,0.0298732153007783,0.0215654175678743,0.026188004021062,,0.0064558635883127,-0.018260243304855,0.0069400970243371,,,,0.0311726267682015,,,-0.005765080500085
