,tc_value,mmi_value
H3K18ac_H3K79me_H2AS129ph,0.7486416801151261,-0.33306852388362174
H3K4me3_H3K79me3_H2AS129ph,0.8795562357412692,-0.3306242531719086
H3K4ac_H3K4me3_H3K36me3,1.4064188601225975,-0.3280415557400129
H4K5ac_H3K4me3_H3K36me3,1.1019208296200524,-0.3274729180441547
H3K4me3_H3K4me_H4K16ac,1.1070431357701036,-0.32389771804478684
H4K8ac_H3K18ac_H2AS129ph,1.0187874122173408,-0.3226832210596111
H2AK5ac_H3K36me3_H2AS129ph,0.8985840371418519,-0.3223291486932762
H4K8ac_H3K36me3_H2AS129ph,0.8641821585616221,-0.32205145002729907
H3K18ac_H3K79me_H3K4me,0.818487129917969,-0.3217001230261012
H3K4me2_H3K36me2_H4R3me2s,1.023631796869081,-0.3214474431656793
H3K79me_H4K20me_H3K36me3,0.9602969362150517,-0.3205307385385918
H3K4me2_H4K16ac_H3K36me3,0.6644644401893647,-0.32043940523340275
H3K4me3_H3K79me3_H4R3me2s,1.335061144533217,-0.3201570085606953
H3K14ac_H3K4me3_H3K36me3,1.832690770397365,-0.3200600455664766
H3K18ac_H3K79me_H3K36me2,0.803505886219785,-0.3197542581327575
H3K14ac_H3K4me_H3K79me3,1.0274993085032165,-0.31955857604923565
H3K9ac_H3K4me3_H3K36me3,1.165157101684768,-0.3192292035262039
H3K4ac_H3K4me3_H3K79me3,1.2730735691285133,-0.31862741456186505
H3K79me_H3K36me2_H3K36me3,1.032253055467244,-0.3185682884960741
H4K5ac_H3K18ac_H2AS129ph,0.9933277727681684,-0.318444039606927
H3K9ac_H3K4me2_H3K36me3,0.8903589402640364,-0.3179066042747678
H3K79me_H3K4me_H3K36me3,1.0181023572597976,-0.31622814110385455
H3K23ac_H4K16ac_H3K36me3,0.8231132627406232,-0.3158635213235286
H3K79me_H3K36me2_H3K79me3,0.979350095743099,-0.315157593489225
H3K23ac_H3K4me2_H3K36me3,1.116339637735992,-0.3148290580916022
H2AK5ac_H4K16ac_H4R3me2s,1.104356483570621,-0.314682289981592
H4K12ac_H3K18ac_H2AS129ph,0.9473301558145355,-0.31409754055588124
H3K18ac_H3K36me2_H3K79me3,1.0455435815866245,-0.313743350627103
H3K4me3_H4K16ac_H3K79me3,0.6821879805582434,-0.31332902609750946
H4K5ac_H3K36me3_H2AS129ph,0.8377432167832506,-0.3130859246593438
H3K18ac_H3K36me2_H2AS129ph,0.909329006122535,-0.3125176675264463
H3K9ac_H4K16ac_H3K36me3,0.8627507894795201,-0.3121027231181728
H3K79me_H4K16ac_H3K36me3,0.8029514681379126,-0.3109543694636656
H4K12ac_H4K16ac_H4R3me2s,0.9462354690427333,-0.3085481311511682
H3K18ac_H3K4me_H3K79me3,1.0933049333335756,-0.3072664717595046
H3K14ac_H3K4me_H4K16ac,0.8602761557707712,-0.3070406376402399
H3K79me3_H4R3me2s_H2AS129ph,1.1837397606026379,-0.3069321846426014
