,tc_value,mmi_value
H2AZ_H3K4me2_H4K12ac,0.5449972378137211,-0.2570790452471634
H3K4me3_H4K5ac_H4K91ac,0.8461968460746938,-0.2564441716165202
H3K4me2_H4K20me1_H3K18ac,0.5535292004084571,-0.25642176189626475
H3K4me2_H4K20me1_H4K12ac,0.48000820096518737,-0.2562724715785052
H3K4me1_H3K4me3_H2BK5ac,0.7863262876906969,-0.2557805736525669
H3K4me1_H3K9me1_H2BK20ac,0.47862539460755826,-0.254506040748641
H2BK5me1_H3K4me1_H3K27ac,0.6694820562572374,-0.2541229267585301
H2AZ_H3K4me2_H3K18ac,0.7108831672710743,-0.2539281181322419
H3K4me1_H4K91ac_H2BK20ac,0.9420776426976936,-0.25258554322566695
H2AZ_H3K4me1_H3K4me3,0.96908571241174,-0.2522950070509751
H2AZ_H3K4me1_H4K91ac,0.5032428359399557,-0.25190446748982076
H3K4me1_H3K27ac_H2BK20ac,0.8000042684702215,-0.25167697717446025
H3K9me1_H4K20me1_H3K27ac,0.4914171687256683,-0.24945950713086518
H3K4me2_H3K9me1_H2BK120ac,0.7466485640625802,-0.24838071840848386
H3K4me3_H4K20me1_H4K12ac,0.6653318728142974,-0.24834314764271426
H3K4me1_H4K91ac_H2BK120ac,1.0123946453629422,-0.24818746620687548
H2BK5me1_H3K4me1_H2BK20ac,0.5720582287051634,-0.24779227540511073
H3K4me2_H4K91ac_H2BK5ac,0.7410146888768416,-0.2476152125634723
H3K4me3_H3K9me1_H4K5ac,0.47375082892429354,-0.24758096339197166
H3K4me2_H3K18ac_H3K27ac,1.0512620682533562,-0.2457533252267705
H3K4me2_H3K36ac_H4K91ac,0.7638185797929271,-0.24571454804080872
H3K4me2_H4K20me1_H2BK120ac,0.48466990143509037,-0.24570927385804886
H2AZ_H3K4me1_H3K9me1,0.5089069744367176,-0.24559760998990754
H2AZ_H3K4me3_H3K9me1,0.7537267161366614,-0.24496242103773014
H2BK5me1_H3K4me1_H2BK120ac,0.6047129729617335,-0.24406803768333774
H3K4me2_H3K9me1_H3K18ac,0.7668123159319649,-0.24183137231857366
H2BK5me1_H4K20me1_H4K91ac,0.9178292375865631,-0.24166132571152055
H3K4me2_H3K9ac_H4K12ac,0.6508719705788586,-0.24081531576106485
H3K4me2_H3K4me3_H3K9ac,1.0647396069833395,-0.24055077280999093
H3K4me3_H3K9me1_H3K4ac,0.48998621142390064,-0.2400614450630183
H2BK5me1_H3K4me2_H3K27ac,0.51781183675355,-0.23954520152565628
H3K4me1_H4K8ac_H4K91ac,0.5372216589792043,-0.23841753759806927
H3K4me1_H4K20me1_H3K4ac,0.4523261377449934,-0.23814786286227907
H2BK5me1_H3K9me1_H4K91ac,0.3932155494352294,-0.2376434271275336
H3K9me1_H3K18ac_H4K91ac,0.8638271959004022,-0.23728121057690643
H3K4me2_H3K4ac_H3K27ac,0.8341910867777038,-0.23660163387718391
H2AZ_H3K4me2_H2BK20ac,0.5268171356469473,-0.23597340811904743
H3K4me2_H3K18ac_H4K12ac,0.9244715566687134,-0.23541315648899186
H2AZ_H3K9me1_H4K91ac,0.42188633091427796,-0.23406267220950205
H3K4me3_H3K9me1_H3K36ac,0.5181187535770508,-0.23333008528456212
H3K9me1_H4K20me1_H3K18ac,0.5047347619327329,-0.2322149493956509
H3K4me2_H3K9me1_H4K12ac,0.7382017589991676,-0.23134285041744107
H3K4me1_H3K27ac_H2BK120ac,0.9558388746643338,-0.23036443858020128
H3K4me2_H3K27ac_H3K36ac,0.8224747557287024,-0.2303213025937616
H3K4me1_H3K9ac_H4K91ac,0.7456226075893877,-0.22937713492077094
H3K4me1_H3K27ac_H4K5ac,0.7466458208504143,-0.22698978722403496
H2BK5me1_H3K4me3_H4K20me1,1.1342748281799437,-0.22683092838696162
H3K4me3_H4K91ac_H2BK20ac,1.1330715239617,-0.2262894363234551
H3K4me2_H4K20me1_H2BK20ac,0.44801522891844137,-0.22599998855974945
H3K4me3_H4K91ac_H2AK5ac,0.542643446604016,-0.22580808973793332
H3K4me1_H3K18ac_H3K27ac,0.9977385200839386,-0.225338042045097
H3K4me2_H3K9ac_H2BK120ac,0.786130309826909,-0.22529167530284866
H3K4me2_H3K9ac_H2BK20ac,0.6342085779437241,-0.22506371278063497
H3K4me1_H4K20me1_H4K5ac,0.5036103780710377,-0.22466413971284993
H3K4me2_H3K9ac_H3K27ac,0.9588240314077225,-0.2244494188283781
H3K9me1_H3K9ac_H4K91ac,0.6042083308562614,-0.22416477665779588
H2BK5me1_H3K4me2_H4K12ac,0.40042676140367206,-0.22404187314613466
H3K4me1_H3K18ac_H4K12ac,0.8887117203974455,-0.22343071768234068
H2BK5me1_H3K4me2_H3K18ac,0.4653609624255477,-0.22325111180043322
H2AZ_H3K4me1_H3K18ac,0.6376049118044751,-0.22294251522816744
H3K4me3_H3K9me1_H2BK12ac,0.42777591768931345,-0.222822317855762
H3K4me3_H4K8ac_H4K91ac,0.7508373841156519,-0.22235697986022274
H3K4me2_H4K91ac_H2BK12ac,0.6899187754782421,-0.22209255418466078
H3K4me2_H3K18ac_H2BK20ac,0.9268380336082309,-0.22178710793528467
H3K4me2_H3K18ac_H2BK120ac,1.0346162716458753,-0.22136061469161916
H2AZ_H3K4me3_H4K91ac,0.9204340377634121,-0.22104773461931693
H3K4me1_H3K9ac_H4K12ac,0.6601083908455525,-0.22015471205113357
H2AZ_H3K4me2_H3K4ac,0.4801349218101887,-0.22010880244233455
H3K4me3_H3K9me1_H4K8ac,0.4632446976155311,-0.21999948463437136
H3K4me2_H3K9ac_H3K18ac,0.8066089928643976,-0.21955128254073486
H2AZ_H3K4me1_H4K12ac,0.4702180162105609,-0.21897352272113402
H3K9me1_H3K27ac_H4K12ac,0.7448305773917436,-0.218171781673421
H3K4me2_H4K12ac_H2BK120ac,0.9608042760161766,-0.21811177355897016
H2AZ_H3K4me1_H3K27ac,0.636080999571421,-0.21787510050286052
H2AZ_H3K9me1_H3K27ac,0.5740824158987117,-0.21785414212861554
H2AZ_H3K4me2_H3K9ac,0.6892437143036485,-0.21675522034584382
H3K4me1_H3K9me1_H3K4ac,0.44802242967929296,-0.21655353914927744
H3K4me1_H4K91ac_H2BK12ac,0.6996859135506455,-0.216464492835037
H3K4me3_H3K9me1_H2BK5ac,0.5336311903403761,-0.21549314529934094
H3K4me2_H3K9me1_H2BK20ac,0.7079183640963098,-0.21526848897576123
H3K4me3_H3K18ac_H4K91ac,1.2257633118882438,-0.21482006682832733
H2BK5me1_H3K4me1_H4K5ac,0.5408143109027286,-0.2142070325240759
H3K4me2_H4K5ac_H4K12ac,0.7400899839697459,-0.21358176462402767
H3K9me1_H3K27ac_H2BK120ac,0.8789479420014921,-0.21346644523370628
H2BK5me1_H3K4me2_H2BK120ac,0.4189879186874901,-0.21328030571907064
H3K4me2_H4K20me1_H3K4ac,0.3883043324740907,-0.21251348947390447
H3K9me1_H4K20me1_H4K12ac,0.435924820580329,-0.21236066510417118
H2AZ_H3K4me2_H3K9me1,0.7637307003218137,-0.21232638824239203
H3K4me2_H3K9me1_H3K9ac,0.7456839611085826,-0.21224234201848446
H3K4me1_H3K18ac_H2BK20ac,0.8942879902728169,-0.211965290791424
H3K4me2_H3K27ac_H2BK12ac,0.7073330532576545,-0.21182648447167018
H2BK5me1_H3K4me1_H3K4ac,0.5205542027143757,-0.21173568452604385
H3K4me3_H4K20me1_H3K27ac,0.8825758657164418,-0.21147694767148018
H3K4me1_H3K9me1_H4K5ac,0.4492365527059494,-0.21131729725750326
H3K4me2_H3K27ac_H4K5ac,0.7901741532515487,-0.21108837408385206
H2BK5me1_H3K9me1_H3K27ac,0.4520086832941441,-0.2109984397609459
H3K4me2_H3K4ac_H4K91ac,0.9011200262934604,-0.2104551355934703
H3K4me1_H3K9me1_H3K9ac,0.5223548996377367,-0.21043750512647996
H2AZ_H3K4me2_H3K36ac,0.5472085832649789,-0.21039755402880544
H2AZ_H3K4me2_H2BK5ac,0.5281333388043858,-0.21001912280220658
H3K4me1_H4K12ac_H2BK120ac,0.943053307161902,-0.21000528816787245
H3K4me1_H3K36me3_H4K20me1,0.39173068349426643,-0.2098376781900697
H3K4me1_H3K9ac_H2BK20ac,0.6498798336724914,-0.20978877325971546
H3K4me3_H4K20me1_H2BK120ac,0.7335975867104558,-0.2090950051524505
H3K9me1_H4K91ac_H2BK120ac,0.9115553615637388,-0.20887820617092245
H3K9me1_H4K12ac_H4K91ac,0.8208338256744536,-0.2087767751411551
H3K4me2_H4K20me1_H3K9ac,0.44842271188755944,-0.20873526413018695
H3K9me1_H3K27ac_H2BK20ac,0.7131605746055172,-0.20794735532329867
H3K4me2_H3K4me3_H4K16ac,0.47305643653479024,-0.20794689316209514
H2AZ_H3K9me1_H3K18ac,0.5732926099022162,-0.20774175055987776
H3K4me3_H4K20me1_H2BK20ac,0.641936820598568,-0.2074989945762269
H2AZ_H3K4me1_H2BK120ac,0.5294019938708878,-0.20687769274482193
H3K4me3_H3K9me1_H3K9ac,0.8400801146735031,-0.2067636132655526
